VALUE,ZONE_NAME,ESP_Name,ESP_LF,ESPLF_Name,ZONE_NAME_ENC,ESP_Name_ENC,ESPLF_Name_ENC
1,Northern Cascades,Open Water,0,Undetermined,43,345,1
2,Northern Cascades,Open Water,1,Sparsely Vegetated,43,345,0
3,Northern Cascades,Open Water,2,Upland Herb,43,345,3
4,Northern Cascades,Open Water,3,Upland Shrub,43,345,4
5,Northern Cascades,Open Water,4,Upland Woodland,43,345,5
6,Northern Cascades,Open Water,5,Upland Forest,43,345,2
7,Northern Cascades,Open Water,6,Wetland Shrub-Herb,43,345,9
8,Northern Cascades,Open Water,7,Wetland Forest,43,345,6
9,Northern Cascades,Open Water,8,Wetland Shrub,43,345,8
10,Northern Cascades,Open Water,9,Wetland Herb,43,345,7
11,Northern Cascades,Perrennial Ice/Snow,0,Undetermined,43,355,1
12,Northern Cascades,Perrennial Ice/Snow,2,Upland Herb,43,355,3
13,Northern Cascades,Perrennial Ice/Snow,3,Upland Shrub,43,355,4
14,Northern Cascades,Perrennial Ice/Snow,4,Upland Woodland,43,355,5
15,Northern Cascades,Perrennial Ice/Snow,5,Upland Forest,43,355,2
16,Northern Cascades,Perrennial Ice/Snow,8,Wetland Shrub,43,355,8
17,Northern Cascades,Perrennial Ice/Snow,9,Wetland Herb,43,355,7
18,Northern Cascades,Barren-Rock/Sand/Clay,0,Undetermined,43,98,1
19,Northern Cascades,Barren-Rock/Sand/Clay,2,Upland Herb,43,98,3
20,Northern Cascades,Barren-Rock/Sand/Clay,3,Upland Shrub,43,98,4
21,Northern Cascades,Barren-Rock/Sand/Clay,4,Upland Woodland,43,98,5
22,Northern Cascades,Barren-Rock/Sand/Clay,5,Upland Forest,43,98,2
23,Northern Cascades,Barren-Rock/Sand/Clay,6,Wetland Shrub-Herb,43,98,9
24,Northern Cascades,Barren-Rock/Sand/Clay,7,Wetland Forest,43,98,6
25,Northern Cascades,Barren-Rock/Sand/Clay,8,Wetland Shrub,43,98,8
26,Northern Cascades,Barren-Rock/Sand/Clay,9,Wetland Herb,43,98,7
27,Northern Cascades,Inter-Mountain Basins Sparsely Vegetated Systems,1,Sparsely Vegetated,43,243,0
28,Northern Cascades,Inter-Mountain Basins Sparsely Vegetated Systems,5,Upland Forest,43,243,2
29,Northern Cascades,North Pacific Sparsely Vegetated Systems,1,Sparsely Vegetated,43,307,0
30,Northern Cascades,North Pacific Sparsely Vegetated Systems,5,Upland Forest,43,307,2
31,Northern Cascades,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,1,Sparsely Vegetated,43,360,0
32,Northern Cascades,North Pacific Oak Woodland,0,Undetermined,43,305,1
33,Northern Cascades,North Pacific Oak Woodland,1,Sparsely Vegetated,43,305,0
34,Northern Cascades,North Pacific Oak Woodland,2,Upland Herb,43,305,3
35,Northern Cascades,North Pacific Oak Woodland,3,Upland Shrub,43,305,4
36,Northern Cascades,North Pacific Oak Woodland,4,Upland Woodland,43,305,5
37,Northern Cascades,North Pacific Oak Woodland,5,Upland Forest,43,305,2
38,Northern Cascades,North Pacific Oak Woodland,6,Wetland Shrub-Herb,43,305,9
39,Northern Cascades,North Pacific Oak Woodland,7,Wetland Forest,43,305,6
40,Northern Cascades,North Pacific Oak Woodland,8,Wetland Shrub,43,305,8
41,Northern Cascades,North Pacific Oak Woodland,9,Wetland Herb,43,305,7
42,Northern Cascades,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,0,Undetermined,43,162,1
43,Northern Cascades,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,1,Sparsely Vegetated,43,162,0
44,Northern Cascades,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,2,Upland Herb,43,162,3
45,Northern Cascades,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,3,Upland Shrub,43,162,4
46,Northern Cascades,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,4,Upland Woodland,43,162,5
47,Northern Cascades,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,5,Upland Forest,43,162,2
48,Northern Cascades,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,6,Wetland Shrub-Herb,43,162,9
49,Northern Cascades,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,7,Wetland Forest,43,162,6
50,Northern Cascades,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,8,Wetland Shrub,43,162,8
51,Northern Cascades,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,9,Wetland Herb,43,162,7
52,Northern Cascades,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,0,Undetermined,43,290,1
53,Northern Cascades,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,1,Sparsely Vegetated,43,290,0
54,Northern Cascades,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,2,Upland Herb,43,290,3
55,Northern Cascades,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,3,Upland Shrub,43,290,4
56,Northern Cascades,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,4,Upland Woodland,43,290,5
57,Northern Cascades,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,5,Upland Forest,43,290,2
58,Northern Cascades,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,6,Wetland Shrub-Herb,43,290,9
59,Northern Cascades,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,7,Wetland Forest,43,290,6
60,Northern Cascades,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,8,Wetland Shrub,43,290,8
61,Northern Cascades,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,9,Wetland Herb,43,290,7
62,Northern Cascades,North Pacific Hypermaritime Sitka Spruce Forest,0,Undetermined,43,293,1
63,Northern Cascades,North Pacific Hypermaritime Sitka Spruce Forest,1,Sparsely Vegetated,43,293,0
64,Northern Cascades,North Pacific Hypermaritime Sitka Spruce Forest,2,Upland Herb,43,293,3
65,Northern Cascades,North Pacific Hypermaritime Sitka Spruce Forest,3,Upland Shrub,43,293,4
66,Northern Cascades,North Pacific Hypermaritime Sitka Spruce Forest,4,Upland Woodland,43,293,5
67,Northern Cascades,North Pacific Hypermaritime Sitka Spruce Forest,5,Upland Forest,43,293,2
68,Northern Cascades,North Pacific Hypermaritime Sitka Spruce Forest,6,Wetland Shrub-Herb,43,293,9
69,Northern Cascades,North Pacific Hypermaritime Sitka Spruce Forest,7,Wetland Forest,43,293,6
70,Northern Cascades,North Pacific Hypermaritime Sitka Spruce Forest,8,Wetland Shrub,43,293,8
71,Northern Cascades,North Pacific Hypermaritime Sitka Spruce Forest,9,Wetland Herb,43,293,7
72,Northern Cascades,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,0,Undetermined,43,296,1
73,Northern Cascades,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,1,Sparsely Vegetated,43,296,0
74,Northern Cascades,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,2,Upland Herb,43,296,3
75,Northern Cascades,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,3,Upland Shrub,43,296,4
76,Northern Cascades,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,4,Upland Woodland,43,296,5
77,Northern Cascades,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,5,Upland Forest,43,296,2
78,Northern Cascades,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,6,Wetland Shrub-Herb,43,296,9
79,Northern Cascades,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,7,Wetland Forest,43,296,6
80,Northern Cascades,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,8,Wetland Shrub,43,296,8
81,Northern Cascades,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,9,Wetland Herb,43,296,7
82,Northern Cascades,North Pacific Maritime Mesic Subalpine Parkland,0,Undetermined,43,298,1
83,Northern Cascades,North Pacific Maritime Mesic Subalpine Parkland,1,Sparsely Vegetated,43,298,0
84,Northern Cascades,North Pacific Maritime Mesic Subalpine Parkland,2,Upland Herb,43,298,3
85,Northern Cascades,North Pacific Maritime Mesic Subalpine Parkland,3,Upland Shrub,43,298,4
86,Northern Cascades,North Pacific Maritime Mesic Subalpine Parkland,4,Upland Woodland,43,298,5
87,Northern Cascades,North Pacific Maritime Mesic Subalpine Parkland,5,Upland Forest,43,298,2
88,Northern Cascades,North Pacific Maritime Mesic Subalpine Parkland,6,Wetland Shrub-Herb,43,298,9
89,Northern Cascades,North Pacific Maritime Mesic Subalpine Parkland,7,Wetland Forest,43,298,6
90,Northern Cascades,North Pacific Maritime Mesic Subalpine Parkland,8,Wetland Shrub,43,298,8
91,Northern Cascades,North Pacific Maritime Mesic Subalpine Parkland,9,Wetland Herb,43,298,7
92,Northern Cascades,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,0,Undetermined,43,299,1
93,Northern Cascades,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,1,Sparsely Vegetated,43,299,0
94,Northern Cascades,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2,Upland Herb,43,299,3
