OID_,VALUE,MZ,ZONE_NAME,ESP2,ESP_Name,ESP_LF,ESPLF_Name,R,G,B,Red,Green,Blue
,-9999,0,NoData,0,NoData,-9999,NoData,0,0,0,0,0,0
,1,1,Northern Cascades,11,Open Water,0,Undetermined,0,92,230,0,0.360784,0.901961
,2,1,Northern Cascades,11,Open Water,1,Sparsely Vegetated,0,92,230,0,0.360784,0.901961
,3,1,Northern Cascades,11,Open Water,2,Upland Herb,0,92,230,0,0.360784,0.901961
,4,1,Northern Cascades,11,Open Water,3,Upland Shrub,0,92,230,0,0.360784,0.901961
,5,1,Northern Cascades,11,Open Water,4,Upland Woodland,0,92,230,0,0.360784,0.901961
,6,1,Northern Cascades,11,Open Water,5,Upland Forest,0,92,230,0,0.360784,0.901961
,7,1,Northern Cascades,11,Open Water,6,Wetland Shrub-Herb,0,92,230,0,0.360784,0.901961
,8,1,Northern Cascades,11,Open Water,7,Wetland Forest,0,92,230,0,0.360784,0.901961
,9,1,Northern Cascades,11,Open Water,8,Wetland Shrub,0,92,230,0,0.360784,0.901961
,10,1,Northern Cascades,11,Open Water,9,Wetland Herb,0,92,230,0,0.360784,0.901961
,11,1,Northern Cascades,12,Perrennial Ice/Snow,0,Undetermined,255,255,255,1,1,1
,12,1,Northern Cascades,12,Perrennial Ice/Snow,2,Upland Herb,255,255,255,1,1,1
,13,1,Northern Cascades,12,Perrennial Ice/Snow,3,Upland Shrub,255,255,255,1,1,1
,14,1,Northern Cascades,12,Perrennial Ice/Snow,4,Upland Woodland,255,255,255,1,1,1
,15,1,Northern Cascades,12,Perrennial Ice/Snow,5,Upland Forest,255,255,255,1,1,1
,16,1,Northern Cascades,12,Perrennial Ice/Snow,8,Wetland Shrub,255,255,255,1,1,1
,17,1,Northern Cascades,12,Perrennial Ice/Snow,9,Wetland Herb,255,255,255,1,1,1
,18,1,Northern Cascades,31,Barren-Rock/Sand/Clay,0,Undetermined,0,0,0,0,0,0
,19,1,Northern Cascades,31,Barren-Rock/Sand/Clay,2,Upland Herb,0,0,0,0,0,0
,20,1,Northern Cascades,31,Barren-Rock/Sand/Clay,3,Upland Shrub,0,0,0,0,0,0
,21,1,Northern Cascades,31,Barren-Rock/Sand/Clay,4,Upland Woodland,0,0,0,0,0,0
